Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,82365.492364536,83724.465911527,90506.8595058764,108656.802575207,123523.493238604,124197.275382905,134048.621858085,169966.306938019,185785.725924897,154775.380774218,150737.892475253,169016.196065279,157520.219426533,177673.74536842,189432.370013147,165989.505113832,170028.655717864,167517.059727856,185978.609251356,190512.737442436,..
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,474.217094319837,524.054008363595,571.594978994912,646.192471046652,797.977726310822,998.829388045669,1334.21272417801,1632.72758172733,2136.56240185072,1714.3618273845,2643.28708316435,3757.56541460408,4351.88846071215,4366.08953699572,4158.52147149753,3918.58701514963,3660.15194371362,3669.40693442825,4134.97937229071,4339.84462487314,4007.30888507766
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,1627.07263304394,1909.59870186179,2106.6350684523,2789.15906483509,3380.16512135859,3674.6179242797,4425.67887307803,5976.39414454596,7367.75190910882,6727.10776676969,6688.48239970574,7328.93225247529,6586.7212793222,7189.29542462924,7388.14779373126,6517.16375162528,7033.60489868635,7803.41113682269,8850.09463079793,8910.65155409448,7686.09294918651
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,1334.94346380236,1339.29407718828,1416.4883957844,1725.45746606577,1952.9025338131,2018.02554710957,2196.01127633502,2499.25993757187,2890.36071538625,2866.92411016989,2839.92611978697,3046.94785427611,2912.65827494029,3121.68008083643,3171.69919227376,2875.25798516781,2896.72219562665,3035.45443323105,3226.98279356862,3230.40972230151,3009.24945958152
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,319.359620843667,296.268406913079,302.545233699878,326.075190861329,383.270221899038,416.809824183966,435.334063299058,482.198563648376,563.649634288657,520.402631609141,471.904343344477,594.586147098683,657.644676541878,664.077510357336,673.96921195694,589.85904996253,428.926672944529,461.415094120589,503.317925171139,503.57065659174,448.607453580724
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,99.7449195857043,90.5324289355063,159.957278353116,186.540067750034,182.38440993244,216.00260325922,295.638358584232,512.58008609192,637.521739384387,840.074439314618,1018.13172971134,1061.92341090353,1035.80423992229,1121.94204945961,1140.76651982206,1144.47434120191,1158.43456551363,1257.80357639114,1279.08975591511,1477.35536778794,1400.21824189956
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,2185.60411228517,1950.64853572359,1808.88490054073,2621.70039166966,3464.41822241747,3739.5317179479,4059.10134906269,4405.41039694041,4212.3671945981,4295.3871437954,5394.99671137475,5806.74824519587,5942.29273969968,5392.09494015959,5469.90140143946,4896.61525956702,4546.98668737434,5367.11467314944,5587.98561266432,5037.34262919263,4211.05092913395
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,4752.17508153522,6560.27487042551,9562.66786551324,9648.49565479998,10171.4807258872,8365.07289010124,9555.79042954856,10360.7773115777,11614.665076832,10983.2246492424,..
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,229.490392563225,246.725558064189,244.72084352424,252.402351773172,286.157672590748,315.805629997361,346.945331253185,391.380057185409,470.455459040508,478.173252764915,592.401207101201,799.583376878379,804.141607315404,823.359874609489,844.853124843617,901.749607715071,899.523581017634,1048.45375534427,1178.52593245237,1194.95687572575,1155.14285440358
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,26149.41107829,26873.2759335114,29204.0398310254,35672.2065978453,40362.3947822685,41979.0558457881,44863.3506314287,51733.4421317965,57644.4799749353,52514.0271165323,50950.0343435181,54159.3466126142,50073.0056559308,52184.0618504931,52830.1742328055,45175.2318933798,46007.8529206547,48554.9922761756,53018.6293562696,52295.0390498713,52304.0573851896
New Caledonia,NCL,GDP per capita (current US$),NY.GDP.PCAP.CD,12579.5951055864,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,13641.1027183822,13882.8568268586,16874.1874918196,21913.7081719961,25420.234882944,27751.0654708859,26654.5932018985,32479.9817381467,31252.9625640673,28209.3623271229,33676.7741239925,38387.6270784076,39973.3807587223,42976.6495882584,44572.8987536626,38630.7265886928,40080.4941137172,42992.8952738896,43306.0700032372,41999.3682892979,41791.79308952
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,1007.499838655,1034.55138685018,1000.93671470556,1005.73304356528,1080.26911900907,1162.28968513428,1226.63398711348,1327.95708556498,1499.26672826903,1444.36951048837,1503.87223074992,1655.81805473253,1760.46740709043,1811.63680270363,1934.06292227225,2049.8516660809,2107.5740596602,2159.16192554656,2014.57028700455,1926.69969398276,1905.25675597599
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,197.832683441643,208.37705993638,228.235908596278,268.349892996455,286.490065814065,321.723661184348,336.281950277799,390.284480245482,478.502558952437,464.057998970917,476.869532167304,512.595335012861,529.744458141694,552.569138963417,564.596748802018,484.238632609296,498.105337934855,517.977044176666,572.430138463628,553.894955335826,565.06133311838
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,567.930722076473,590.381815034907,741.747493876339,795.386228652408,1007.87434241216,1268.38346158479,1656.42479354329,1883.46138847202,2242.87190046259,1891.33529693097,2280.43733738126,2487.59801680379,2723.82219093859,2961.54942175947,3098.98579063938,2687.48005643212,2176.00277201515,1968.56539847444,2027.77854863842,2229.8586518613,2097.09247289022
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,1854.53627078482,1815.84091482906,1949.68244943234,2409.78935945595,2762.59368581172,3037.35452023388,3326.43851099255,4037.12245180833,4794.33468216807,4546.15217123979,4545.39213137603,5063.88590630977,4697.19668886498,5210.1530440089,5468.12622486189,4843.49238734655,5132.99714567042,5432.41453143721,6087.46831134253,6022.24098997419,5888.00401517897
